Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCA _TakeOn
263,672,Ousmane Dembélé,FRA,"MF,FW",Paris S-G,Ligue 1,26,1997,16.7,96,97,95
264,673,Jessy Deminguet,FRA,"MF,FW",Strasbourg,Ligue 1,25,1998,7.7,29,11,0
265,674,Ermedin Demirović,BIH,"FW,MF",Augsburg,Bundesliga,25,1998,31.9,85,34,91
266,682,Mattia Destro,ITA,"FW,MF",Empoli,Serie A,32,1991,4.1,20,11,0
267,684,Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,29,1994,0.2,9,95,0
268,689,Boulaye Dia,SEN,"FW,MF",Salernitana,Serie A,26,1996,12.7,52,27,34
269,690,Moussa Diaby,FRA,"FW,MF",Aston Villa,Premier League,24,1999,24.2,89,65,83
270,693,Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,17,2005,2.3,20,19,34
271,697,Oumar Diakité,CIV,FW,Reims,Ligue 1,19,2003,17.6,67,36,91
272,698,Amad Diallo,CIV,"FW,MF",Manchester Utd,Premier League,21,2002,4.3,46,88,61
273,700,Assane Diao,ESP,FW,Betis,La Liga,17,2005,11.6,49,25,0
274,701,Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,19,2004,25.6,74,25,76
275,704,Krépin Diatta,SEN,"DF,FW",Monaco,Ligue 1,24,1999,13.4,67,59,51
276,707,Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,23,1999,17.2,86,85,96
277,708,Luis Díaz,COL,FW,Liverpool,Premier League,26,1997,29.2,99,94,98
278,710,Famara Diedhiou,SEN,"FW,MF",Granada,La Liga,30,1992,1,27,97,34
279,711,Justin Diehl,GER,"FW,MF",Köln,Bundesliga,18,2004,1.9,35,95,51
280,712,Bamba Dieng,SEN,FW,Lorient,Ligue 1,23,2000,6.1,44,60,34
281,716,Florian Dietz,GER,"FW,MF",Köln,Bundesliga,24,1998,0.8,20,92,0
282,721,Eren Dinkçi,GER,"FW,MF",Heidenheim,Bundesliga,21,2001,29.4,90,55,87
283,725,Sofiane Diop,FRA,FW,Nice,Ligue 1,23,2000,5.5,41,59,34
284,735,Ben Doak,SCO,FW,Liverpool,Premier League,17,2005,0.2,0,0,0
285,743,Jeremy Doku,BEL,"FW,MF",Manchester City,Premier League,21,2002,17.7,96,96,98
286,744,Jeremy Doku,BEL,FW,Rennes,Ligue 1,21,2002,1.2,32,97,51
287,747,Mario Dominguez,ESP,FW,Valencia,La Liga,19,2004,0.3,0,0,0
288,748,Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,Premier League,25,1998,16.6,61,29,0
289,751,Jamie Donley,ENG,FW,Tottenham,Premier League,18,2005,0,0,0,0
290,757,Abdoulaye Doucouré,MLI,"FW,MF",Everton,Premier League,30,1993,29.2,83,35,0
291,759,Siriné Doucouré,MLI,FW,Lorient,Ligue 1,21,2002,4.7,38,51,34
292,760,Désiré Doué,FRA,"MF,FW",Rennes,Ligue 1,18,2005,18.1,91,90,97
293,766,Anastasios Douvikas,GRE,FW,Celta Vigo,La Liga,23,1999,10.1,46,25,61
294,767,Artem Dovbyk,UKR,FW,Girona,La Liga,26,1997,28.7,78,25,83
295,768,Nikola Dovedan,AUT,"MF,FW",Heidenheim,Bundesliga,29,1994,7.3,49,61,34
296,769,Damion Downs,GER,"FW,MF",Köln,Bundesliga,19,2004,2,20,25,0
297,773,Dion Drena Beljo,CRO,"FW,MF",Augsburg,Bundesliga,21,2002,6.5,47,63,61
298,778,Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,29,1994,30,95,73,76
299,784,Jhon Durán,COL,"FW,MF",Aston Villa,Premier League,19,2003,5.3,36,34,34
300,785,Julien Duranville,BEL,"FW,MF",Dortmund,Bundesliga,17,2006,0.1,0,0,0
301,786,Hugo Duro,ESP,FW,Valencia,La Liga,23,1999,33.1,73,16,70
302,788,Paulo Dybala,ARG,"FW,MF",Roma,Serie A,29,1993,21.8,92,85,61
303,789,Aron Dønnum,NOR,"FW,MF",Toulouse,Ligue 1,25,1998,17.7,76,57,61
304,790,George Earthy,ENG,FW,West Ham,Premier League,18,2004,0.4,14,92,0
305,797,Odsonne Édouard,FRA,"FW,MF",Crystal Palace,Premier League,25,1998,17.3,70,45,87
306,803,Hugo Ekitike,FRA,FW,Paris S-G,Ligue 1,21,2002,0.1,0,0,0
307,804,Hugo Ekitike,FRA,FW,Eint Frankfurt,Bundesliga,21,2002,8,53,69,83
308,805,Emmanuel Ekong,SWE,FW,Empoli,Serie A,21,2002,0.1,9,99,0
309,806,Caleb Ekuban,GHA,FW,Genoa,Serie A,29,1994,12.6,61,51,76
310,807,Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,Premier League,21,2002,27,84,45,83
311,808,Simon Elisor,FRA,FW,Metz,Ligue 1,24,1999,8.5,44,33,34
312,809,Harvey Elliott,ENG,"MF,FW",Liverpool,Premier League,20,2003,15,88,92,51
313,810,Elif Elmas,MKD,"FW,MF",Napoli,Serie A,23,1999,3.8,32,38,34
314,811,Elif Elmas,MKD,"MF,FW",RB Leipzig,Bundesliga,23,1999,3,27,37,51
315,815,Adri Embarba,ESP,"FW,MF",Almería,La Liga,31,1992,27.5,95,78,89
316,816,Breel Embolo,SUI,FW,Monaco,Ligue 1,26,1997,2,34,90,51
317,817,Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,20,2003,23.1,53,13,76
318,819,Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,26,1997,28.6,48,10,34
319,820,Julio Enciso,PAR,"MF,FW",Brighton,Premier League,19,2004,5.3,49,85,76
320,831,Oscar Estupiñan,COL,FW,Metz,Ligue 1,26,1996,2.9,14,10,0
321,833,Karl Etta,CMR,FW,Cádiz,La Liga,19,2004,0.2,0,0,0
322,835,Eberechi Eze,ENG,"MF,FW",Crystal Palace,Premier League,25,1998,22.8,95,89,95
323,836,Abde Ezzalzouli,MAR,"FW,MF",Barcelona,La Liga,21,2001,0.8,14,47,0
324,837,Abde Ezzalzouli,MAR,FW,Betis,La Liga,21,2001,9.6,46,29,61
325,838,Giovanni Fabbian,ITA,"MF,FW",Bologna,Serie A,20,2003,11.7,49,24,34
326,841,Romain Faivre,FRA,"MF,FW",Bournemouth,Premier League,25,1998,0.5,9,31,34
327,842,Romain Faivre,FRA,"MF,FW",Lorient,Ligue 1,25,1998,16.1,69,47,61
328,843,Ilhan Fakili,FRA,"MF,FW",Clermont Foot,Ligue 1,17,2006,1,14,23,0
329,844,Radamel Falcao,COL,"FW,DF",Rayo Vallecano,La Liga,37,1986,4.5,38,53,0
330,849,Ansu Fati,ESP,"MF,FW",Brighton,Premier League,20,2002,5.8,49,78,34
331,850,Ansu Fati,ESP,"MF,FW",Barcelona,La Liga,20,2002,0.6,9,21,0
332,851,Khalil Fayad,FRA,"FW,MF",Montpellier,Ligue 1,19,2004,11.4,44,18,0
333,854,Peter Federico,DOM,"MF,FW",Valencia,La Liga,21,2002,7.2,39,24,51
334,855,Nabil Fekir,FRA,"MF,FW",Betis,La Liga,30,1993,11.7,79,92,61
335,858,João Félix,POR,FW,Barcelona,La Liga,23,1999,17.1,80,72,87
336,861,Evan Ferguson,IRL,FW,Brighton,Premier League,18,2004,15.2,48,15,51
337,863,Bruno Fernandes,POR,"MF,FW",Manchester Utd,Premier League,28,1994,34.6,100,96,87
338,867,Carlos Fernández,ESP,FW,Real Sociedad,La Liga,27,1996,4.5,17,10,0
339,870,Valery Fernández,ESP,"MF,FW",Girona,La Liga,23,1999,5.6,39,41,51
340,873,Ichem Ferrah,FRA,FW,Lille,Ligue 1,17,2005,0,0,0,0
341,878,Nacho Ferri,ESP,"FW,MF",Eint Frankfurt,Bundesliga,18,2004,0.8,14,39,0
342,879,Rachad Fettal,MAR,FW,Almería,La Liga,18,2005,0.2,14,99,0
343,880,Seydou Fini,ITA,"DF,FW",Genoa,Serie A,17,2006,0.4,9,42,0
344,881,Max Finkgräfe,GER,"DF,FW",Köln,Bundesliga,19,2004,19.5,66,27,61
345,887,Phil Foden,ENG,"FW,MF",Manchester City,Premier League,23,2000,31.7,99,87,91
346,889,Malick Fofana,BEL,FW,Lyon,Ligue 1,18,2005,6.2,44,59,51
347,893,Michael Folorunsho,ITA,"MF,FW",Hellas Verona,Serie A,25,1998,30.9,71,16,70
348,894,Tiago Fonseca Morais,POR,FW,Lille,Ligue 1,19,2003,0.5,9,24,0
349,895,Pablo Fornals,ESP,"MF,FW",West Ham,Premier League,27,1996,4.7,40,66,0
350,896,Pablo Fornals,ESP,"FW,MF",Betis,La Liga,27,1996,12.8,70,69,51
351,897,Emil Forsberg,SWE,"MF,FW",RB Leipzig,Bundesliga,31,1991,5.2,40,60,0
352,898,Omari Forson,ENG,FW,Manchester Utd,Premier League,19,2004,0.8,0,0,0
353,899,Philipp Förster,GER,"MF,FW",Bochum,Bundesliga,28,1995,4.3,44,86,0
354,901,Lyle Foster,RSA,"FW,MF",Burnley,Premier League,22,2000,21.1,67,24,51
355,904,Matheus França,BRA,"MF,FW",Crystal Palace,Premier League,19,2004,2.6,29,60,0
356,907,Nathan Fraser,IRL,FW,Wolves,Premier League,18,2005,2.1,25,55,0
357,909,Jean Frederic N'Guessan,CIV,"MF,FW",Metz,Ligue 1,20,2003,1.2,20,63,34
358,915,Jorge de Frutos,ESP,"FW,MF",Rayo Vallecano,La Liga,26,1997,17.2,74,56,70
359,916,Chris Führich,GER,"FW,MF",Stuttgart,Bundesliga,25,1998,28.5,98,89,98
360,917,Shiō Fukuda,JPN,"FW,MF",Gladbach,Bundesliga,19,2004,0.4,14,90,0
361,919,Niclas Füllkrug,GER,FW,Werder Bremen,Bundesliga,30,1993,2,27,69,0
362,920,Niclas Füllkrug,GER,FW,Dortmund,Bundesliga,30,1993,24.6,78,36,0
363,921,Gerardo Fusco,ITA,FW,Salernitana,Serie A,18,2005,0.2,14,99,0
364,925,Gianluca Gaetano,ITA,"FW,MF",Cagliari,Serie A,23,2000,8.3,60,81,61
365,928,Cody Gakpo,NED,"FW,MF",Liverpool,Premier League,24,1999,18.3,85,79,83
366,936,Kévin Gameiro,FRA,"FW,MF",Strasbourg,Ligue 1,36,1987,15,75,69,51
367,938,Ignatius Ganago,CMR,"FW,MF",Nantes,Ligue 1,24,1999,2,23,40,0
368,940,Álvaro García,ESP,"FW,MF",Rayo Vallecano,La Liga,30,1992,27.5,88,53,61
369,946,Francisco Jesús Crespo García,ESP,FW,Las Palmas,La Liga,27,1996,5.6,44,67,51
370,947,Gonzalo García,ESP,"FW,MF",Real Madrid,La Liga,19,2004,0.2,0,0,0
371,948,Jastin García,ESP,FW,Girona,La Liga,19,2004,0.4,9,51,0
372,949,Raúl García,ESP,"FW,MF",Athletic Club,La Liga,37,1986,4.7,20,10,0
373,950,Rubén García,ESP,"FW,MF",Osasuna,La Liga,30,1993,17.2,82,76,87
374,953,Alejandro Garnacho,ARG,FW,Manchester Utd,Premier League,19,2004,28.5,97,82,96
375,958,Federico Gattoni,ARG,"DF,FW",Sevilla,La Liga,24,1999,0.1,0,0,0
376,959,Gavi,ESP,"MF,FW",Barcelona,La Liga,18,2004,10.5,52,44,51
377,961,Yann Gboho,FRA,"MF,FW",Toulouse,Ligue 1,22,2001,13.3,65,56,87
378,963,Gelabert,ESP,"MF,FW",Toulouse,Ligue 1,22,2000,8.4,47,42,34
379,967,Denis Genreau,AUS,"MF,FW",Toulouse,Ligue 1,24,1999,5.2,38,43,0
380,970,Farés Ghedjemis,FRA,"FW,MF",Frosinone,Serie A,20,2002,2,20,25,34
381,973,Morgan Gibbs-White,ENG,"MF,FW",Nott'ham Forest,Premier League,23,2000,35.1,99,83,91
382,975,Bryan Gil,ESP,"FW,MF",Tottenham,Premier League,22,2001,2.3,32,77,0
383,983,Olivier Giroud,FRA,FW,Milan,Serie A,36,1986,26.3,74,24,0
384,985,Serge Gnabry,GER,"FW,MF",Bayern Munich,Bundesliga,28,1995,4.8,44,78,34
385,989,Aleksandr Golovin,RUS,"MF,FW",Monaco,Ligue 1,27,1996,23.9,94,84,61
386,990,André Gomes,POR,"MF,FW",Everton,Premier League,30,1993,5.6,43,61,34
387,995,Maxi Gómez,URU,FW,Cádiz,La Liga,26,1996,12.9,47,18,0
388,996,Moi Gómez,ESP,"MF,FW",Osasuna,La Liga,29,1994,22.3,79,48,61
389,997,Papu Gómez,ARG,"MF,FW",Monza,Serie A,35,1988,0.5,23,99,0
390,998,Sergio Gómez,ESP,"FW,MF",Manchester City,Premier League,22,2000,0.6,14,66,34
391,1006,Hugo González,ESP,"MF,FW",Valencia,La Liga,20,2003,1,23,91,0
392,1009,Nicolás González,ARG,FW,Fiorentina,Serie A,25,1998,21.3,80,55,76
393,1011,Anthony Gordon,ENG,FW,Newcastle Utd,Premier League,22,2001,32.1,99,86,96
394,1012,Kaide Gordon,ENG,FW,Liverpool,Premier League,18,2004,0,0,0,0
395,1019,Amine Gouiri,ALG,"FW,MF",Rennes,Ligue 1,23,2000,23,90,73,96
396,1021,Pablo Gozalbez,ESP,"MF,FW",Valencia,La Liga,22,2001,1.1,9,10,0
397,1024,Samuel Grandsir,FRA,"MF,FW",Le Havre,Ligue 1,26,1996,6.7,58,88,61
398,1027,Ryan Gravenberch,NED,FW,Bayern Munich,Bundesliga,21,2002,0.1,17,100,34
399,1028,Adrian Grbić,AUT,FW,Lorient,Ligue 1,26,1996,0.3,9,54,0
400,1030,Jack Grealish,ENG,"FW,MF",Manchester City,Premier League,27,1995,11.2,76,89,34
401,1031,Mason Greenwood,ENG,"MF,FW",Getafe,La Liga,21,2001,29.6,96,74,99
402,1032,Michael Gregoritsch,AUT,FW,Freiburg,Bundesliga,29,1994,18.7,71,42,51
403,1034,Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,La Liga,32,1991,29.4,95,73,70
404,1035,Vincenzo Grifo,ITA,"MF,FW",Freiburg,Bundesliga,30,1993,25.8,93,76,83
405,1040,Brajan Gruda,GER,"MF,FW",Mainz 05,Bundesliga,19,2004,18.2,94,95,89
406,1044,Sergi Guardiola,ESP,"FW,MF",Cádiz,La Liga,32,1991,5.5,40,49,0
407,1046,Gabriel Gudmundsson,SWE,"DF,FW",Lille,Ligue 1,24,1999,14.1,48,16,61
408,1047,Gonçalo Guedes,POR,"FW,MF",Villarreal,La Liga,26,1996,10.6,66,76,70
409,1048,Axel Gueguin,FRA,"DF,FW",Montpellier,Ligue 1,18,2005,1.5,14,14,0
410,1055,Evann Guessand,CIV,FW,Nice,Ligue 1,22,2001,17.3,71,49,87
411,1059,Morgan Guilavogui,GUI,"FW,MF",Lens,Ligue 1,25,1998,6.3,52,84,34
412,1063,Serhou Guirassy,GUI,FW,Stuttgart,Bundesliga,27,1996,24.5,91,73,89
413,1064,Marc Guiu,ESP,"FW,MF",Barcelona,La Liga,17,2006,0.8,14,39,0
414,1067,Arda Güler,TUR,"FW,MF",Real Madrid,La Liga,18,2005,4.2,43,84,51
415,1073,Gorka Guruzeta,ESP,FW,Athletic Club,La Liga,26,1996,24.6,77,34,34
416,1076,Albert Guðmundsson,ISL,"FW,MF",Genoa,Serie A,26,1997,33.5,99,84,61
417,1078,Emmanuel Gyasi,GHA,"DF,FW",Empoli,Serie A,29,1994,20.9,52,13,34
418,1080,Erling Haaland,NOR,FW,Manchester City,Premier League,23,2000,28.4,79,29,61
419,1083,Robin Hack,GER,"FW,MF",Gladbach,Bundesliga,24,1998,15,70,57,70
420,1084,Antwoine Hackford,ENG,FW,Sheffield Utd,Premier League,19,2004,0.1,0,0,0
421,1085,Munir El Haddadi,MAR,FW,Las Palmas,La Liga,27,1995,27.2,80,35,76
422,1087,Ianis Hagi,ROU,"MF,FW",Alavés,La Liga,24,1998,8.9,72,93,61
423,1093,Sébastien Haller,CIV,FW,Dortmund,Bundesliga,29,1994,4.4,35,43,0
424,1099,Amine Harit,MAR,"MF,FW",Marseille,Ligue 1,26,1997,20.2,91,86,91
425,1101,Jack Harrison,ENG,"MF,FW",Everton,Premier League,26,1996,24.6,83,47,61
426,1102,Abdou Harroui,NED,"MF,FW",Frosinone,Serie A,25,1998,11.3,65,68,70
427,1107,Kai Havertz,GER,"MF,FW",Arsenal,Premier League,24,1999,29.3,95,72,61
428,1110,Hwang Hee-chan,KOR,"FW,MF",Wolves,Premier League,27,1996,23.5,72,27,89
429,1112,Silvan Hefti,SUI,"DF,FW",Montpellier,Ligue 1,25,1997,7.9,35,14,0
430,1118,Luis Henrique,BRA,"FW,DF",Marseille,Ligue 1,21,2001,8.7,55,66,51
431,1119,Luiz Henrique,BRA,FW,Betis,La Liga,22,2001,6.8,56,85,83
432,1122,Thomas Henry,FRA,FW,Hellas Verona,Serie A,28,1994,3.7,25,17,0
433,1133,Cristian Herrera,ESP,"FW,MF",Las Palmas,La Liga,32,1991,1.8,23,49,0
434,1136,Patrick Herrmann,GER,"FW,DF",Gladbach,Bundesliga,32,1991,1,27,98,0
435,1138,Son Heung-min,KOR,FW,Tottenham,Premier League,31,1992,32.6,98,78,95
436,1145,Adam Hložek,CZE,"MF,FW",Leverkusen,Bundesliga,21,2002,5.1,40,60,34
437,1148,Philipp Hofmann,GER,FW,Bochum,Bundesliga,30,1993,17.5,74,55,51
438,1149,Lucas Höler,GER,"FW,MF",Freiburg,Bundesliga,29,1994,25.6,81,42,34
439,1152,Benedict Hollerbach,GER,"FW,MF",Union Berlin,Bundesliga,22,2001,14.2,67,53,61
440,1154,Gerrit Holtmann,PHI,"MF,FW",Darmstadt 98,Bundesliga,28,1995,4.4,44,85,61
441,1157,Franck Honorat,FRA,"DF,FW",Gladbach,Bundesliga,26,1996,26.1,98,91,61
442,1158,Mathias Honsak,AUT,"FW,MF",Darmstadt 98,Bundesliga,26,1996,11.3,47,22,51
443,1159,Sydney van Hooijdonk,NED,FW,Bologna,Serie A,23,2000,2.4,14,10,0
444,1160,Fraser Hornby,SCO,"FW,MF",Darmstadt 98,Bundesliga,23,1999,2.4,29,64,34
445,1164,Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,Premier League,22,2000,20.6,89,79,89
446,1172,Rasmus Højlund,DEN,FW,Manchester Utd,Premier League,20,2003,24,78,39,76
447,1175,Arijon Ibrahimović,GER,"FW,DF",Frosinone,Serie A,17,2005,5.3,40,52,34
448,1176,Iglesias,ESP,"DF,FW",Getafe,La Liga,25,1998,15.7,52,19,34
449,1177,Borja Iglesias,ESP,FW,Betis,La Liga,30,1993,4.5,46,86,0
450,1178,Borja Iglesias,ESP,FW,Leverkusen,Bundesliga,30,1993,2.8,29,51,0
451,1180,Jonathan Ikone,FRA,FW,Fiorentina,Serie A,25,1998,18.7,73,46,91
452,1181,Chukwubuikem Ikwuemesi,NGA,FW,Salernitana,Serie A,21,2001,11.8,43,16,51
453,1182,Andrej Ilic,SRB,FW,Lille,Ligue 1,23,2000,0.1,0,0,0
454,1186,Joel Imasuen,USA,FW,Werder Bremen,Bundesliga,18,2004,0,0,0,0
455,1187,Ciro Immobile,ITA,FW,Lazio,Serie A,33,1990,18.4,66,31,34
456,1189,Danny Ings,ENG,FW,West Ham,Premier League,31,1992,4.5,41,76,61
457,1192,Alexander Isak,SWE,FW,Newcastle Utd,Premier League,23,1999,25.1,85,53,95
458,1193,Gustav Isaksen,DEN,FW,Lazio,Serie A,22,2001,11.9,67,68,61
459,1201,Junya Ito,JPN,"FW,MF",Reims,Ligue 1,30,1993,30.2,98,87,89
460,1204,Alex Iwobi,NGA,"FW,MF",Fulham,Premier League,27,1996,24.4,94,83,83
461,1206,Nicolas Jackson,SEN,FW,Chelsea,Premier League,22,2001,31.1,92,59,99
462,1209,Lee Jae-sung,KOR,"MF,FW",Mainz 05,Bundesliga,30,1992,23.5,83,51,61
463,1213,Kristijan Jakić,CRO,"MF,FW",Eint Frankfurt,Bundesliga,26,1997,2.2,14,11,0
464,1215,Ablie Jallow,GAM,"MF,FW",Metz,Ligue 1,24,1998,10.2,56,56,51
465,1218,Jakub Jankto,CZE,"MF,FW",Cagliari,Serie A,27,1996,9.7,49,37,0
466,1220,Adnan Januzaj,BEL,"FW,MF",Sevilla,La Liga,28,1995,2.1,25,51,34
467,1221,Nuha Jatta,GAM,FW,RB Leipzig,Bundesliga,17,2006,0,0,0,0
468,1223,Luis Javier Suárez,COL,FW,Almería,La Liga,25,1997,10.2,52,47,76
469,1226,Daniel Jebbison,ENG,FW,Sheffield Utd,Premier League,19,2003,0.2,0,0,0
470,1227,Jeffinho,BRA,"FW,MF",Lyon,Ligue 1,23,1999,3.4,41,91,34
471,1228,Fredrik Jensen,FIN,"MF,FW",Augsburg,Bundesliga,25,1997,14.9,74,66,0
472,1231,Gabriel Jesus,BRA,FW,Arsenal,Premier League,26,1997,16.4,79,71,91
473,1234,Raúl Jiménez,MEX,FW,Fulham,Premier League,32,1991,15.5,52,19,70
474,1235,João Pedro,BRA,"FW,MF",Brighton,Premier League,21,2001,22.7,91,79,87
475,1236,Joelinton,BRA,"MF,FW",Newcastle Utd,Premier League,26,1996,14.2,71,64,83
476,1238,Ben Johnson,ENG,"DF,FW",West Ham,Premier League,23,2000,6,32,16,0
477,1239,Brennan Johnson,WAL,FW,Tottenham,Premier League,22,2001,23.2,84,58,70
478,1240,Brennan Johnson,WAL,"FW,MF",Nott'ham Forest,Premier League,22,2001,2.6,27,47,51
479,1247,Jeremy Jorge,ESP,FW,Getafe,La Liga,20,2003,0,0,0,0
480,1248,Kaio Jorge,BRA,FW,Frosinone,Serie A,21,2002,9,47,36,34
481,1250,Willian José,BRA,FW,Betis,La Liga,31,1991,21.9,68,23,34
482,1251,Joselu,ESP,FW,Real Madrid,La Liga,33,1990,18.7,58,18,34
483,1252,Diogo Jota,POR,FW,Liverpool,Premier League,26,1996,12.7,72,75,76
484,1253,Antoine Joujou,FRA,"FW,MF",Le Havre,Ligue 1,20,2003,8.7,58,71,76
485,1254,Luka Jović,SRB,FW,Milan,Serie A,25,1997,9.7,46,27,0
486,1256,Juanmi,ESP,FW,Cádiz,La Liga,30,1993,9.7,46,28,51
487,1261,Eli Junior Kroupi,FRA,"FW,MF",Lorient,Ligue 1,17,2006,12,46,18,61
488,1264,Vinicius Júnior,BRA,FW,Real Madrid,La Liga,23,2000,20.7,88,76,99
489,1267,Julian Justvan,GER,"FW,MF",Hoffenheim,Bundesliga,25,1998,0.5,0,0,0
490,1268,Julian Justvan,GER,"MF,FW",Darmstadt 98,Bundesliga,25,1998,11.4,71,80,76
491,1272,Sory Kaba,GUI,FW,Las Palmas,La Liga,28,1995,8,39,20,34
492,1276,Abdoul Kader Bamba,FRA,"FW,MF",Nantes,Ligue 1,29,1994,6.8,63,92,51
493,1278,Pavel Kadeřábek,CZE,"DF,FW",Hoffenheim,Bundesliga,31,1992,26.8,80,35,0
494,1279,Tino Kadewere,ZIM,"FW,MF",Lyon,Ligue 1,27,1996,3.3,32,49,0
495,1280,Tino Kadewere,ZIM,"FW,MF",Nantes,Ligue 1,27,1996,8.7,47,39,34
496,1282,Florian Kainz,AUT,"MF,FW",Köln,Bundesliga,30,1992,24.4,93,80,76
497,1283,Sasa Kalajdzic,AUT,FW,Wolves,Premier League,26,1997,1.8,23,48,0
498,1284,Sasa Kalajdzic,AUT,FW,Eint Frankfurt,Bundesliga,26,1997,3.6,29,32,0
499,1285,Arnaud Kalimuendo,FRA,FW,Rennes,Ligue 1,21,2002,23.8,84,56,76
500,1286,Yayah Kallon,SLE,FW,Hellas Verona,Serie A,22,2001,0,0,0,0
501,1290,Waren Kamanzi,NOR,"DF,FW",Toulouse,Ligue 1,22,2000,13.2,49,19,0
502,1294,Jakub Kamiński,POL,"FW,MF",Wolfsburg,Bundesliga,21,2002,5.3,27,14,0
503,1297,Harry Kane,ENG,FW,Bayern Munich,Bundesliga,30,1993,31.5,90,46,87
504,1298,Lee Kang-in,KOR,"FW,MF",Paris S-G,Ligue 1,22,2001,16.3,83,82,76
505,1299,Yann Karamoh,FRA,"MF,FW",Torino,Serie A,25,1998,1.8,20,33,34
506,1300,Yann Karamoh,FRA,"FW,MF",Montpellier,Ligue 1,25,1998,3.2,32,53,34
507,1305,Jesper Karlsson,SWE,FW,Bologna,Serie A,25,1998,3.8,35,53,0
508,1306,Jon Karrikaburu,ESP,"MF,FW",Alavés,La Liga,20,2002,0.2,0,0,0
509,1309,Silas Katompa,COD,"FW,MF",Stuttgart,Bundesliga,24,1998,10,68,82,95
510,1311,Mikkel Kaufmann,DEN,FW,Union Berlin,Bundesliga,22,2001,5.4,36,32,51
511,1313,Moise Kean,ITA,FW,Juventus,Serie A,23,2000,7.3,39,24,76
512,1324,Thomas Keller,GER,"MF,FW",Heidenheim,Bundesliga,23,1999,0,0,0,0
513,1326,Omari Kellyman,ENG,FW,Aston Villa,Premier League,17,2005,0.4,0,0,0
514,1331,Reda Khadra,GER,"FW,MF",Reims,Ligue 1,22,2001,15.2,71,58,83
515,1332,Wahbi Khazri,TUN,FW,Montpellier,Ligue 1,32,1991,12.6,52,28,70
516,1335,Kiké,ESP,"FW,MF",Alavés,La Liga,33,1989,15.8,66,43,76
517,1343,Tim Kleindienst,GER,FW,Heidenheim,Bundesliga,27,1995,31.9,85,33,70
518,1345,Justin Kluivert,NED,"MF,FW",Bournemouth,Premier League,24,1999,21.3,79,51,91
519,1354,Luca Koleosho,ITA,"MF,FW",Burnley,Premier League,18,2004,10.8,53,45,95
520,1355,Randal Kolo Muani,FRA,"FW,MF",Paris S-G,Ligue 1,24,1998,14.1,74,70,61
521,1356,Randal Kolo Muani,FRA,FW,Eint Frankfurt,Bundesliga,24,1998,1.7,9,9,0
