Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCA _TakeOn
781,2121,Marvin Pieringer,GER,"MF,FW",Heidenheim,Bundesliga,23,1999,16.8,55,19,34
782,2122,Santiago Pierotti,ARG,"MF,FW",Lecce,Serie A,22,2001,2.2,36,93,61
783,2125,Andrea Pinamonti,ITA,FW,Sassuolo,Serie A,24,1999,34.2,79,19,61
784,2127,Yeremi Pino,ESP,"MF,FW",Villarreal,La Liga,20,2002,5.3,38,40,34
785,2131,Alassane Pléa,FRA,"FW,MF",Gladbach,Bundesliga,30,1993,21.3,87,72,76
786,2135,Matteo Politano,ITA,FW,Napoli,Serie A,29,1993,26.2,99,93,83
787,2136,Sebastian Polter,GER,FW,Darmstadt 98,Bundesliga,32,1991,5,34,26,0
788,2141,Portu,ESP,FW,Getafe,La Liga,31,1992,1.1,14,22,0
789,2142,Portu,ESP,"MF,FW",Girona,La Liga,31,1992,13.2,55,31,51
790,2144,Yussuf Poulsen,DEN,FW,RB Leipzig,Bundesliga,29,1994,13.5,63,50,70
791,2149,Abdón Prats,ESP,"FW,MF",Mallorca,La Liga,30,1992,14.1,49,18,34
792,2155,Antonio Puertas,ESP,"MF,FW",Granada,La Liga,31,1992,8.1,55,70,70
793,2156,Arnau Puigmal,ESP,"FW,DF",Almería,La Liga,22,2001,2.8,20,15,0
794,2157,Christian Pulisic,USA,"FW,MF",Milan,Serie A,24,1998,28.9,91,60,89
795,2158,George Pușcaș,ROU,FW,Genoa,Serie A,27,1996,2.1,23,37,34
796,2163,Nemanja Radonjić,SRB,"MF,FW",Torino,Serie A,27,1996,4.2,32,30,51
797,2169,Abdellah Raihani,MAR,FW,Atlético Madrid,La Liga,19,2004,0.1,0,0,0
798,2171,Luca Raimund,GER,"FW,MF",Stuttgart,Bundesliga,18,2005,0.3,17,98,0
799,2173,Jesurun Rak Sakyi,ENG,"MF,FW",Crystal Palace,Premier League,20,2002,1.5,25,79,51
800,2176,Largie Ramazani,BEL,"FW,MF",Almería,La Liga,22,2001,17.3,78,64,87
801,2177,Benito Ramírez,ESP,"FW,MF",Las Palmas,La Liga,28,1995,4.3,29,22,34
802,2178,Sandro Ramírez,ESP,FW,Las Palmas,La Liga,28,1995,20.1,87,77,70
803,2179,Chris Ramos,ESP,"FW,MF",Cádiz,La Liga,26,1997,29,65,14,87
804,2180,Gonçalo Ramos,POR,FW,Paris S-G,Ligue 1,22,2001,15.8,60,30,34
805,2183,Aaron Ramsey,ENG,"MF,FW",Burnley,Premier League,20,2003,5.9,23,10,0
806,2184,Jacob Ramsey,ENG,"FW,MF",Aston Villa,Premier League,22,2001,9.5,55,59,34
807,2187,Grant Ranos,ARM,"MF,FW",Gladbach,Bundesliga,20,2003,0.5,14,71,0
808,2188,Raphinha,BRA,"FW,MF",Barcelona,La Liga,26,1996,15.2,91,95,83
809,2190,Elba Rashani,KVX,"MF,FW",Clermont Foot,Ligue 1,30,1993,13.1,55,32,34
810,2191,Marcus Rashford,ENG,FW,Manchester Utd,Premier League,25,1997,25.2,91,68,98
811,2192,Giacomo Raspadori,ITA,"FW,MF",Napoli,Serie A,23,2000,17.6,86,83,70
812,2194,Raúl,ESP,FW,Osasuna,La Liga,22,2000,15.1,48,15,0
813,2199,Abderrahman Rebbach,ALG,"FW,MF",Alavés,La Liga,24,1998,8,55,72,70
814,2200,Nathan Redmond,ENG,"FW,MF",Burnley,Premier League,29,1994,1.6,29,91,34
815,2204,Bobby Reid,JAM,FW,Fulham,Premier League,30,1993,15.8,61,30,34
816,2207,Reinier,BRA,"MF,FW",Frosinone,Serie A,21,2002,11.8,60,54,0
817,2211,Mateo Retegui,ITA,FW,Genoa,Serie A,24,1999,24.6,55,12,70
818,2212,Marco Reus,GER,"MF,FW",Dortmund,Bundesliga,34,1989,17.8,83,77,34
819,2214,Gio Reyna,USA,"FW,MF",Nott'ham Forest,Premier League,20,2002,2.6,36,88,34
820,2215,Gio Reyna,USA,"MF,FW",Dortmund,Bundesliga,20,2002,3.1,51,98,51
821,2218,Rodrigo Ribeiro,POR,"MF,FW",Nott'ham Forest,Premier League,18,2005,0.2,9,92,0
822,2223,Richarlison,BRA,FW,Tottenham,Premier League,26,1997,16.6,60,27,61
823,2224,Marco Richter,GER,"MF,FW",Mainz 05,Bundesliga,25,1997,8,53,69,51
824,2228,Jaïro Riedewald,NED,"MF,FW",Crystal Palace,Premier League,26,1996,2.6,9,9,0
825,2230,Luis Rioja,ESP,"FW,MF",Alavés,La Liga,29,1993,27.8,89,55,76
826,2235,Matt Ritchie,SCO,"FW,MF",Newcastle Utd,Premier League,33,1989,1.4,17,29,0
827,2245,Sergio Rodelas,ESP,"FW,DF",Granada,La Liga,18,2004,1.4,25,86,0
828,2247,Rodri,ESP,"FW,MF",Betis,La Liga,23,2000,11.7,60,52,61
829,2248,Óscar Rodríguez Arnaiz,ESP,"MF,FW",Getafe,La Liga,25,1998,10.7,73,87,70
830,2252,Jay Rodriguez,ENG,FW,Burnley,Premier League,34,1989,9.1,38,15,51
831,2256,Rodrygo,BRA,FW,Real Madrid,La Liga,22,2001,26.4,96,82,99
832,2259,Morgan Rogers,ENG,"MF,FW",Aston Villa,Premier League,21,2002,7.1,49,63,61
833,2260,Merlin Röhl,GER,"MF,FW",Freiburg,Bundesliga,21,2002,16.4,70,50,61
834,2265,Luka Romero,ARG,"FW,MF",Milan,Serie A,18,2004,1,14,26,0
835,2266,Luka Romero,ARG,FW,Almería,La Liga,18,2004,4.9,34,27,51
836,2272,Vitor Roque,BRA,FW,Barcelona,La Liga,18,2005,3.6,20,12,34
837,2289,Aitor Ruibal,ESP,"DF,FW",Betis,La Liga,27,1996,11.3,60,55,51
838,2296,Emmanuel Sabbi,USA,"FW,MF",Le Havre,Ligue 1,25,1997,17.6,69,42,76
839,2300,Dominic Sadi,ENG,FW,Bournemouth,Premier League,19,2003,0,0,0,0
840,2301,Umar Sadiq,NGA,FW,Real Sociedad,La Liga,26,1997,12,49,23,83
841,2302,Alexis Saelemaekers,BEL,"FW,MF",Bologna,Serie A,24,1999,21,90,81,83
842,2304,Wesley Saïd,FRA,"FW,MF",Lens,Ligue 1,28,1995,11.3,64,66,70
843,2306,Bukayo Saka,ENG,FW,Arsenal,Premier League,21,2001,32.4,100,95,93
844,2308,Ibrahim Salah,MAR,"FW,MF",Rennes,Ligue 1,21,2001,5.8,41,55,34
845,2309,Mohamed Salah,EGY,FW,Liverpool,Premier League,31,1992,28.2,98,90,87
846,2310,Amine Salama,FRA,FW,Reims,Ligue 1,23,2000,3.5,29,35,0
847,2314,Roland Sallai,HUN,"MF,FW",Freiburg,Bundesliga,26,1997,20.4,83,67,51
848,2320,Mama Samba Baldé,GNB,"FW,MF",Lyon,Ligue 1,27,1995,6.1,47,68,76
849,2325,Antonio Sanabria,PAR,"FW,MF",Torino,Serie A,27,1996,23.7,64,17,34
850,2329,Alexis Sánchez,CHI,"FW,MF",Inter,Serie A,34,1988,8.5,61,81,34
851,2335,Jadon Sancho,ENG,"FW,MF",Manchester Utd,Premier League,23,2000,0.9,20,88,0
852,2336,Jadon Sancho,ENG,"FW,MF",Dortmund,Bundesliga,23,2000,10.5,74,90,87
853,2338,Ibou Sané,SEN,"MF,FW",Metz,Ligue 1,18,2005,1.4,14,15,34
854,2339,Leroy Sané,GER,FW,Bayern Munich,Bundesliga,27,1996,23.7,99,95,93
855,2344,Nicola Sansone,ITA,"FW,MF",Lecce,Serie A,31,1991,8.5,69,92,70
856,2351,Riccardo Saponara,ITA,"FW,MF",Hellas Verona,Serie A,31,1991,3.8,27,21,0
857,2352,Pablo Sarabia,ESP,"MF,FW",Wolves,Premier League,31,1992,19.4,91,87,51
858,2353,Amin Sarr,SWE,"FW,MF",Lyon,Ligue 1,22,2001,1.1,17,49,0
859,2354,Amin Sarr,SWE,"FW,MF",Wolfsburg,Bundesliga,22,2001,4.3,23,12,0
860,2356,Ismaila Sarr,SEN,"FW,MF",Marseille,Ligue 1,25,1998,16.1,66,41,51
861,2358,Martin Satriano,URU,FW,Brest,Ligue 1,22,2001,20.7,78,50,76
862,2361,Sávio,BRA,"FW,MF",Girona,La Liga,19,2004,33.1,96,70,98
863,2366,Gianluca Scamacca,ITA,FW,Atalanta,Serie A,24,1999,16.1,80,77,34
864,2367,Dane Scarlett,ENG,FW,Tottenham,Premier League,19,2004,0.2,9,81,0
865,2368,Kevin Schade,GER,"FW,MF",Brentford,Premier League,21,2001,3.7,36,62,34
866,2371,Patrik Schick,CZE,FW,Leverkusen,Bundesliga,27,1996,11.8,56,43,61
867,2372,Stefan Schimmer,GER,"MF,FW",Heidenheim,Bundesliga,29,1994,1.7,20,36,0
868,2376,Jeffrey Schlupp,GHA,"FW,MF",Crystal Palace,Premier League,30,1992,15,53,22,51
869,2377,Romano Schmid,AUT,"MF,FW",Werder Bremen,Bundesliga,23,2000,28.9,96,81,70
870,2389,Jérémy Sebas,MTQ,"FW,MF",Strasbourg,Ligue 1,20,2003,4.4,34,33,51
871,2392,Demba Seck,SEN,"FW,MF",Frosinone,Serie A,22,2001,3.3,36,73,0
872,2397,Nikola Sekulov,ITA,FW,Juventus,Serie A,21,2002,0.1,0,0,0
873,2398,Davie Selke,GER,FW,Köln,Bundesliga,28,1995,14.1,53,25,51
874,2402,Vivaldo Semedo,POR,FW,Udinese,Serie A,18,2005,0.1,0,0,0
875,2403,Antoine Semenyo,GHA,FW,Bournemouth,Premier League,23,2000,23.4,85,59,95
876,2408,Benjamin Šeško,SVN,FW,RB Leipzig,Bundesliga,20,2003,17,61,28,83
877,2409,Kevin Sessa,GER,"MF,FW",Heidenheim,Bundesliga,23,2000,11.2,67,73,61
878,2410,Aaron Seydel,GER,FW,Darmstadt 98,Bundesliga,27,1996,6.9,38,23,0
879,2412,Stephan El Shaarawy,ITA,"FW,DF",Roma,Serie A,30,1992,19.3,76,50,61
880,2415,Eldor Shomurodov,UZB,"FW,MF",Cagliari,Serie A,28,1995,10.4,50,36,61
881,2416,Steven Shpendi,ALB,"FW,MF",Empoli,Serie A,20,2003,4.6,34,31,0
882,2421,André Silva,POR,FW,Real Sociedad,La Liga,27,1995,8.1,32,12,0
883,2422,Bernardo Silva,POR,"MF,FW",Manchester City,Premier League,28,1994,28.6,98,87,83
884,2424,Fábio Silva,POR,FW,Wolves,Premier League,21,2002,2.9,32,59,34
885,2429,Giovanni Simeone,ARG,FW,Napoli,Serie A,28,1995,8.9,53,61,51
886,2430,Giuliano Simeone,ARG,FW,Alavés,La Liga,20,2002,7,48,60,0
887,2432,Moses Simon,NGA,"FW,MF",Nantes,Ligue 1,28,1995,19.9,82,64,95
888,2436,Luis Sinisterra,COL,"FW,MF",Bournemouth,Premier League,24,1999,7.8,68,94,91
889,2439,Ayanda Sishuba,BEL,"MF,FW",Lens,Ligue 1,18,2005,0.7,29,99,70
890,2443,Tim Skarke,GER,"FW,DF",Darmstadt 98,Bundesliga,26,1996,26.7,85,49,76
891,2448,Robert Skov,DEN,"DF,FW",Hoffenheim,Bundesliga,27,1996,14,70,62,0
892,2450,Naatan Skyttä,FIN,"MF,FW",Toulouse,Ligue 1,21,2002,1.3,34,98,34
893,2458,Rubén Sobrino,ESP,"MF,FW",Cádiz,La Liga,31,1992,18.3,65,30,61
894,2461,Alex Sola,ESP,"FW,MF",Alavés,La Liga,24,1999,14,83,90,98
895,2463,Dominic Solanke,ENG,FW,Bournemouth,Premier League,25,1997,36.9,88,30,83
896,2464,Ola Solbakken,NOR,FW,Roma,Serie A,24,1998,0.3,9,78,0
897,2467,Manor Solomon,ISR,FW,Tottenham,Premier League,24,1999,2.2,44,98,34
898,2474,Borna Sosa,CRO,"FW,DF",Stuttgart,Bundesliga,25,1998,0.5,23,99,0
899,2476,Florian Sotoca,FRA,"MF,FW",Lens,Ligue 1,32,1990,28.9,95,75,83
900,2477,Riccardo Sottil,ITA,FW,Fiorentina,Serie A,24,1999,12.3,70,73,70
901,2479,Matìas Soulé,ARG,"FW,MF",Frosinone,Serie A,20,2003,34.7,100,94,100
902,2481,Issa Soumaré,SEN,"FW,MF",Le Havre,Ligue 1,22,2000,2.6,27,47,51
903,2501,Raheem Sterling,ENG,"FW,MF",Chelsea,Premier League,28,1994,22,90,77,98
904,2502,Trivante Stewart,JAM,"FW,MF",Salernitana,Serie A,23,2000,1.1,17,48,34
905,2506,Filip Stojilković,SUI,"FW,MF",Darmstadt 98,Bundesliga,23,2000,1.7,0,0,0
906,2509,Jørgen Strand Larsen,NOR,FW,Celta Vigo,La Liga,23,2000,31.8,80,23,76
907,2510,Gabriel Strefezza,BRA,FW,Lecce,Serie A,26,1997,12.4,67,65,34
908,2512,Cristhian Stuani,URU,FW,Girona,La Liga,36,1986,8.9,40,20,34
909,2515,Denis Suárez,ESP,"MF,FW",Villarreal,La Liga,29,1994,1.5,29,93,0
910,2517,Isaac Success,NGA,"FW,MF",Udinese,Serie A,27,1996,9.8,55,56,61
911,2520,Tomáš Suslov,SVK,"MF,FW",Hellas Verona,Serie A,21,2002,23.2,83,56,83
912,2521,Suso,ESP,"MF,FW",Sevilla,La Liga,29,1993,16.9,91,93,51
913,2524,Williot Swedberg,SWE,"FW,MF",Celta Vigo,La Liga,19,2004,4.9,35,34,61
914,2525,Karol Świderski,POL,"FW,MF",Hellas Verona,Serie A,26,1997,5.6,41,58,34
915,2528,Issiaga Sylla,GUI,"DF,FW",Montpellier,Ligue 1,29,1994,16.2,58,23,34
916,2529,Mamadou Sylla,SEN,"FW,MF",Alavés,La Liga,29,1994,0.2,0,0,0
917,2535,Alexander Sørloth,NOR,FW,Villarreal,La Liga,27,1995,27.7,83,40,83
918,2536,Musa Al-Taamari,JOR,FW,Montpellier,Ligue 1,26,1997,21.4,84,64,95
919,2540,Yassin Tallal,ESP,FW,Getafe,La Liga,18,2005,0,0,0,0
920,2548,Jimi Tauriainen,ENG,FW,Chelsea,Premier League,19,2004,0,0,0,0
921,2550,Marcus Tavernier,ENG,FW,Bournemouth,Premier League,24,1999,23.5,94,84,76
922,2551,Elayis Tavsan,NED,"MF,FW",Hellas Verona,Serie A,22,2001,0.6,9,21,0
923,2553,Marciano Tchami,GNB,"FW,MF",Almería,La Liga,19,2004,0.5,9,30,0
924,2554,Loum Tchaouna,FRA,"FW,MF",Salernitana,Serie A,19,2003,23.3,77,38,76
925,2558,Mathys Tel,FRA,"FW,MF",Bayern Munich,Bundesliga,18,2005,11.7,70,77,91
926,2564,Filippo Terracciano,ITA,"DF,FW",Milan,Serie A,20,2003,0.8,0,0,0
927,2567,Martin Terrier,FRA,"FW,MF",Rennes,Ligue 1,26,1997,17,74,58,34
928,2569,Benjamin Tetteh,GHA,"FW,MF",Metz,Ligue 1,26,1997,3.1,25,23,0
929,2571,Florian Thauvin,FRA,FW,Udinese,Serie A,30,1993,19,85,74,70
930,2575,Jan Thielmann,GER,"FW,DF",Köln,Bundesliga,21,2002,17.5,69,40,76
931,2576,Denis Thomalla,GER,"MF,FW",Heidenheim,Bundesliga,30,1992,5,32,21,0
932,2582,Marcus Thuram,FRA,FW,Inter,Serie A,25,1997,29.9,89,48,83
933,2583,Cheikh Tidiane Sabaly,SEN,"FW,MF",Metz,Ligue 1,24,1999,15.3,65,44,70
934,2584,Youri Tielemans,BEL,"MF,FW",Aston Villa,Premier League,26,1997,18,73,49,34
935,2586,Phillip Tietz,GER,FW,Augsburg,Bundesliga,26,1997,26.5,77,29,34
936,2587,Steffen Tigges,GER,FW,Köln,Bundesliga,25,1998,8.1,44,37,0
937,2596,Raúl de Tomás,ESP,FW,Rayo Vallecano,La Liga,28,1994,14.1,48,16,34
938,2597,Tiago Tomás,POR,"FW,MF",Wolfsburg,Bundesliga,21,2002,11.5,56,46,87
939,2602,Ivan Toney,ENG,FW,Brentford,Premier League,27,1996,16.1,65,39,70
940,2603,Pablo Torre,ESP,"MF,FW",Girona,La Liga,20,2003,7.8,50,59,0
941,2605,Ferrán Torres,ESP,FW,Barcelona,La Liga,23,2000,13.5,76,78,76
942,2609,Fabio Torsiello,ITA,"FW,DF",Darmstadt 98,Bundesliga,18,2005,1.7,14,12,34
943,2614,Andros Townsend,ENG,"MF,FW",Luton Town,Premier League,32,1991,13.4,63,47,61
944,2616,Adama Traoré,ESP,"FW,MF",Fulham,Premier League,27,1996,4.2,39,66,34
945,2617,Bertrand Traoré,BFA,"DF,FW",Aston Villa,Premier League,27,1995,0.1,0,0,0
946,2620,Chaka Traorè,CIV,FW,Milan,Serie A,18,2004,0.2,0,0,0
947,2627,Óscar Trejo,ARG,"FW,MF",Rayo Vallecano,La Liga,35,1988,15.3,85,89,76
948,2628,Mike Trésor,BEL,"FW,MF",Burnley,Premier League,24,1999,4.7,34,30,34
949,2632,Leandro Trossard,BEL,"FW,MF",Arsenal,Premier League,28,1994,18.3,82,70,87
950,2636,Viktor Tsyhankov,UKR,"MF,FW",Girona,La Liga,25,1997,22.8,85,62,61
951,2645,Lukas Ullrich,GER,"DF,FW",Gladbach,Bundesliga,19,2004,0.5,0,0,0
952,2648,Enes Ünal,TUR,"FW,MF",Bournemouth,Premier League,26,1997,3.6,36,64,34
953,2649,Enes Ünal,TUR,"FW,MF",Getafe,La Liga,26,1997,1.6,23,62,0
954,2650,Deniz Undav,GER,"FW,MF",Stuttgart,Bundesliga,27,1996,23.2,94,86,93
955,2652,Kacper Urbanski,POL,"MF,FW",Bologna,Serie A,18,2004,10.3,61,67,61
956,2653,Mark Uth,GER,"MF,FW",Köln,Bundesliga,31,1991,4.1,51,96,34
957,2654,Myrto Uzuni,ALB,FW,Granada,La Liga,28,1995,27.2,60,13,34
958,2662,Kévin Van Den Kerkhof,ALG,"FW,MF",Metz,Ligue 1,27,1996,21.3,64,20,34
959,2667,Ruben Vargas,SUI,"MF,FW",Augsburg,Bundesliga,24,1998,21.8,83,61,70
960,2670,Borja Vázquez,ESP,FW,Cádiz,La Liga,18,2005,0,9,100,0
961,2675,Gabriel Veiga,ESP,FW,Celta Vigo,La Liga,21,2002,0.2,0,0,0
962,2676,Alejo Véliz,ARG,FW,Tottenham,Premier League,19,2003,0.6,9,21,34
963,2677,Alejo Véliz,ARG,FW,Sevilla,La Liga,19,2003,0.4,9,44,0
964,2683,Simone Verdi,ITA,FW,Torino,Serie A,31,1992,0,9,100,0
965,2686,Yorbe Vertessen,BEL,"FW,MF",Union Berlin,Bundesliga,22,2001,6.6,44,53,61
966,2689,Carlos Vicente,ESP,FW,Alavés,La Liga,24,1999,12.4,72,77,70
967,2690,Nacho Vidal,ESP,"DF,FW",Osasuna,La Liga,28,1995,1.1,9,11,0
968,2692,Fabio Vieira,POR,"MF,FW",Arsenal,Premier League,23,2000,3.3,36,73,0
969,2694,Jonathan Viera,ESP,"MF,FW",Las Palmas,La Liga,33,1989,6.9,56,85,34
970,2696,Emanuel Vignato,ITA,"MF,FW",Salernitana,Serie A,22,2000,3.5,27,27,0
971,2697,Samuele Vignato,ITA,"MF,FW",Monza,Serie A,19,2004,3.8,35,54,34
972,2698,Oscar Vilhelmsson,SWE,"FW,MF",Darmstadt 98,Bundesliga,19,2003,15.3,56,25,34
973,2699,Toni Villa,ESP,FW,Girona,La Liga,28,1995,0.1,0,0,0
974,2700,Asier Villalibre,ESP,FW,Athletic Club,La Liga,25,1997,5.7,40,51,34
975,2704,Rúben Vinagre,POR,"DF,FW",Hellas Verona,Serie A,24,1999,3.1,32,53,34
976,2705,Carlos Vinícius,BRA,FW,Fulham,Premier League,28,1995,3.5,32,44,34
977,2706,Nicolas Viola,ITA,"MF,FW",Cagliari,Serie A,33,1989,13.4,81,89,51
978,2707,Alan Virginius,FRA,FW,Lille,Ligue 1,20,2003,0.8,14,43,34
979,2708,Alan Virginius,FRA,FW,Clermont Foot,Ligue 1,20,2003,10.4,47,26,34
980,2711,Vitinha,POR,"FW,MF",Genoa,Serie A,23,2000,3.2,29,43,34
981,2712,Vitinha,POR,FW,Marseille,Ligue 1,23,2000,10.3,63,72,76
982,2717,Dušan Vlahović,SRB,FW,Juventus,Serie A,23,2000,25.6,85,53,76
983,2718,Nikola Vlašić,CRO,"MF,FW",Torino,Serie A,25,1997,29,92,64,61
984,2723,Kevin Volland,GER,"FW,MF",Union Berlin,Bundesliga,31,1992,14.9,71,61,34
985,2724,Cristian Volpato,ITA,"MF,FW",Sassuolo,Serie A,19,2003,7.2,61,90,83
986,2727,Elye Wahi,FRA,FW,Montpellier,Ligue 1,20,2003,0.2,9,97,0
987,2728,Elye Wahi,FRA,FW,Lens,Ligue 1,20,2003,18.8,67,31,61
988,2730,Luca Waldschmidt,GER,"MF,FW",Köln,Bundesliga,27,1996,12.7,68,64,34
989,2736,Lewis Warrington,ENG,FW,Everton,Premier League,20,2002,0,0,0,0
990,2737,Deivid Washington,BRA,"DF,FW",Chelsea,Premier League,18,2005,0.1,0,0,0
991,2738,Kjell-Arik Wätjen,GER,"MF,FW",Dortmund,Bundesliga,17,2006,1.2,17,44,0
992,2739,Ollie Watkins,ENG,FW,Aston Villa,Premier League,27,1995,35.7,93,51,87
993,2740,Timothy Weah,USA,"DF,FW",Juventus,Serie A,23,2000,14,56,30,0
994,2742,Wout Weghorst,NED,FW,Hoffenheim,Bundesliga,30,1992,22,85,62,0
995,2744,Nelson Weiper,GER,"FW,MF",Mainz 05,Bundesliga,18,2005,1.4,17,31,34
996,2746,Noah Weißhaupt,GER,"DF,FW",Freiburg,Bundesliga,21,2001,8.4,58,76,0
997,2747,Shon Weissman,ISR,"FW,DF",Salernitana,Serie A,27,1996,5.5,17,9,0
998,2748,Shon Weissman,ISR,FW,Granada,La Liga,27,1996,0.9,14,31,0
999,2749,Danny Welbeck,ENG,"FW,MF",Brighton,Premier League,32,1990,18.8,85,75,61
1000,2750,Timo Werner,GER,FW,Tottenham,Premier League,27,1996,9,60,75,70
1001,2751,Timo Werner,GER,"FW,MF",RB Leipzig,Bundesliga,27,1996,2.3,29,68,34
1002,2753,Ethan Wheatley,ENG,FW,Manchester Utd,Premier League,17,2006,0.2,0,0,0
1003,2759,Iñaki Williams,GHA,FW,Athletic Club,La Liga,29,1994,31.6,94,64,95
1004,2761,Nico Williams,ESP,FW,Athletic Club,La Liga,21,2002,25.1,97,89,99
1005,2762,Willian,BRA,FW,Fulham,Premier League,34,1988,22.8,96,90,70
1006,2764,Callum Wilson,ENG,FW,Newcastle Utd,Premier League,31,1992,11,48,26,70
1007,2765,Harry Wilson,WAL,FW,Fulham,Premier League,26,1997,18,82,72,76
1008,2767,Patrick Wimmer,AUT,"FW,MF",Wolfsburg,Bundesliga,22,2001,6.5,40,39,51
1009,2768,Jonas Wind,DEN,FW,Wolfsburg,Bundesliga,24,1999,29.5,87,45,34
1010,2770,Yoane Wissa,COD,FW,Brentford,Premier League,26,1996,27.7,81,36,70
1011,2772,Maximilian Wittek,GER,"DF,FW",Bochum,Bundesliga,27,1995,11.9,72,80,61
1012,2775,Nick Woltemade,GER,"FW,MF",Werder Bremen,Bundesliga,21,2002,13.2,76,80,51
1013,2776,Jeong Woo-yeong,KOR,"MF,FW",Stuttgart,Bundesliga,23,1999,7,46,52,0
1014,2777,Chris Wood,NZL,FW,Nott'ham Forest,Premier League,31,1991,20.1,69,31,70
1015,2778,Cauley Woodrow,ENG,"FW,MF",Luton Town,Premier League,28,1994,4.7,41,70,34
1016,2781,Xeber,ESP,"FW,MF",Alavés,La Liga,26,1997,3.4,35,64,34
1017,2784,Lamine Yamal,ESP,FW,Barcelona,La Liga,16,2007,24.5,95,85,98
1018,2785,Roman Yaremchuk,UKR,FW,Valencia,La Liga,27,1995,10.3,35,11,34
1019,2788,Yusuf Yazıcı,TUR,"MF,FW",Lille,Ligue 1,26,1997,14.6,66,50,34
1020,2789,Kelvin Yeboah,ITA,FW,Montpellier,Ligue 1,23,2000,3.1,32,55,34
1021,2790,Bertuğ Yıldırım,TUR,FW,Rennes,Ligue 1,21,2002,5.2,39,47,51
1022,2791,Kenan Yıldız,TUR,"FW,MF",Juventus,Serie A,18,2005,10.6,65,73,76
1023,2797,Mattia Zaccagni,ITA,"FW,MF",Lazio,Serie A,28,1995,21.7,86,67,89
1024,2802,Arsen Zakharyan,RUS,"MF,FW",Real Sociedad,La Liga,20,2003,13.6,78,83,76
1025,2804,Nicola Zalewski,POL,"DF,FW",Roma,Serie A,21,2002,10.8,63,68,76
1026,2806,Nicolò Zaniolo,ITA,"FW,MF",Aston Villa,Premier League,24,1999,9.3,56,62,51
1027,2808,Alessandro Zanoli,ITA,"DF,FW",Napoli,Serie A,22,2000,0.6,0,0,0
1028,2809,Duván Zapata,COL,FW,Torino,Serie A,32,1991,32,86,37,89
1029,2810,Duván Zapata,COL,FW,Atalanta,Serie A,32,1991,1.2,20,62,34
1030,2813,Bryan Zaragoza,ESP,"MF,FW",Granada,La Liga,22,2001,18.2,83,76,98
1031,2814,Bryan Zaragoza,ESP,"FW,MF",Bayern Munich,Bundesliga,22,2001,2,27,68,51
1032,2815,Anass Zaroury,MAR,"FW,MF",Burnley,Premier League,22,2000,1.7,14,12,0
1033,2820,Alessio Zerbin,ITA,"DF,FW",Monza,Serie A,24,1999,7.6,55,76,51
1034,2821,Alessio Zerbin,ITA,"FW,DF",Napoli,Serie A,24,1999,1.7,23,57,0
1035,2826,Edon Zhegrova,KVX,FW,Lille,Ligue 1,24,1999,25.4,97,90,100
1036,2831,Joshua Zirkzee,NED,FW,Bologna,Serie A,22,2001,30.7,93,61,98
1037,2833,Simon Zoller,GER,"FW,MF",Bochum,Bundesliga,32,1991,0.5,0,0,0
1038,2840,Lovro Zvonarek,CRO,"FW,MF",Bayern Munich,Bundesliga,18,2005,1.8,17,18,0
1039,2842,Milan Đurić,BIH,FW,Hellas Verona,Serie A,33,1990,13.4,60,41,0
1040,2843,Milan Đurić,BIH,FW,Monza,Serie A,33,1990,14,38,11,0