Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA
832,2259,Morgan Rogers (Aston Villa),ENG,"MF,FW",Aston Villa,Premier League,21,2002,7.1,64,70,59,49,50
833,2260,Merlin Röhl (Freiburg),GER,"MF,FW",Freiburg,Bundesliga,21,2002,16.4,72,76,77,83,64
834,2265,Luka Romero (Milan),ARG,"FW,MF",Milan,Serie A,18,2004,1,18,14,24,18,0
835,2266,Luka Romero (Almería),ARG,FW,Almería,La Liga,18,2004,4.9,43,44,40,52,18
836,2272,Vitor Roque (Barcelona),BRA,FW,Barcelona,La Liga,18,2005,3.6,42,33,43,35,50
837,2289,Aitor Ruibal (Betis),ESP,"DF,FW",Betis,La Liga,27,1996,11.3,74,83,59,57,62
838,2296,Emmanuel Sabbi (Le Havre),USA,"FW,MF",Le Havre,Ligue 1,25,1997,17.6,82,75,74,59,77
839,2300,Dominic Sadi (Bournemouth),ENG,FW,Bournemouth,Premier League,19,2003,0,0,0,0,0,0
840,2301,Umar Sadiq (Real Sociedad),NGA,FW,Real Sociedad,La Liga,26,1997,12,77,87,54,49,64
841,2302,Alexis Saelemaekers (Bologna),BEL,"FW,MF",Bologna,Serie A,24,1999,21,94,91,87,89,78
842,2304,Wesley Saïd (Lens),FRA,"FW,MF",Lens,Ligue 1,28,1995,11.3,49,61,54,57,55
843,2306,Bukayo Saka (Arsenal),ENG,FW,Arsenal,Premier League,21,2001,32.4,96,95,99,96,99
844,2308,Ibrahim Salah (Rennes),MAR,"FW,MF",Rennes,Ligue 1,21,2001,5.8,59,56,48,61,27
845,2309,Mohamed Salah (Liverpool),EGY,FW,Liverpool,Premier League,31,1992,28.2,88,83,95,92,99
846,2310,Amine Salama (Reims),FRA,FW,Reims,Ligue 1,23,2000,3.5,40,53,38,28,34
847,2314,Roland Sallai (Freiburg),HUN,"MF,FW",Freiburg,Bundesliga,26,1997,20.4,80,76,78,84,75
848,2320,Mama Samba Baldé (Lyon),GNB,"FW,MF",Lyon,Ligue 1,27,1995,6.1,58,58,60,44,75
849,2325,Antonio Sanabria (Torino),PAR,"FW,MF",Torino,Serie A,27,1996,23.7,63,63,56,59,39
850,2329,Alexis Sánchez (Inter),CHI,"FW,MF",Inter,Serie A,34,1988,8.5,50,58,50,59,39
851,2335,Jadon Sancho (Manchester Utd),ENG,"FW,MF",Manchester Utd,Premier League,23,2000,0.9,28,28,38,32,45
852,2336,Jadon Sancho (Dortmund),ENG,"FW,MF",Dortmund,Bundesliga,23,2000,10.5,86,89,85,83,90
853,2338,Ibou Sané (Metz),SEN,"MF,FW",Metz,Ligue 1,18,2005,1.4,28,28,28,18,34
854,2339,Leroy Sané (Bayern Munich),GER,FW,Bayern Munich,Bundesliga,27,1996,23.7,99,100,97,99,96
855,2344,Nicola Sansone (Lecce),ITA,"FW,MF",Lecce,Serie A,31,1991,8.5,53,56,48,47,50
856,2351,Riccardo Saponara (Hellas Verona),ITA,"FW,MF",Hellas Verona,Serie A,31,1991,3.8,32,33,43,44,34
857,2352,Pablo Sarabia (Wolves),ESP,"MF,FW",Wolves,Premier League,31,1992,19.4,73,70,76,91,62
858,2353,Amin Sarr (Lyon),SWE,"FW,MF",Lyon,Ligue 1,22,2001,1.1,18,21,20,12,27
859,2354,Amin Sarr (Wolfsburg),SWE,"FW,MF",Wolfsburg,Bundesliga,22,2001,4.3,35,21,20,32,0
860,2356,Ismaila Sarr (Marseille),SEN,"FW,MF",Marseille,Ligue 1,25,1998,16.1,74,63,80,80,82
861,2358,Martin Satriano (Brest),URU,FW,Brest,Ligue 1,22,2001,20.7,74,76,65,68,69
862,2361,Sávio (Girona),BRA,"FW,MF",Girona,La Liga,19,2004,33.1,100,100,100,99,99
863,2366,Gianluca Scamacca (Atalanta),ITA,FW,Atalanta,Serie A,24,1999,16.1,61,65,59,66,45
864,2367,Dane Scarlett (Tottenham),ENG,FW,Tottenham,Premier League,19,2004,0.2,18,0,0,0,18
865,2368,Kevin Schade (Brentford),GER,"FW,MF",Brentford,Premier League,21,2001,3.7,40,21,34,24,45
866,2371,Patrik Schick (Leverkusen),CZE,FW,Leverkusen,Bundesliga,27,1996,11.8,55,47,31,28,45
867,2372,Stefan Schimmer (Heidenheim),GER,"MF,FW",Heidenheim,Bundesliga,29,1994,1.7,9,0,10,0,0
868,2376,Jeffrey Schlupp (Crystal Palace),GHA,"FW,MF",Crystal Palace,Premier League,30,1992,15,71,70,57,47,50
869,2377,Romano Schmid (Werder Bremen),AUT,"MF,FW",Werder Bremen,Bundesliga,23,2000,28.9,95,92,90,97,83
870,2389,Jérémy Sebas (Strasbourg),MTQ,"FW,MF",Strasbourg,Ligue 1,20,2003,4.4,45,53,45,44,55
871,2392,Demba Seck (Frosinone),SEN,"FW,MF",Frosinone,Serie A,22,2001,3.3,38,33,40,44,50
872,2397,Nikola Sekulov (Juventus),ITA,FW,Juventus,Serie A,21,2002,0.1,0,0,0,0,0
873,2398,Davie Selke (Köln),GER,FW,Köln,Bundesliga,28,1995,14.1,37,41,36,24,45
874,2402,Vivaldo Semedo (Udinese),POR,FW,Udinese,Serie A,18,2005,0.1,0,0,10,0,18
875,2403,Antoine Semenyo (Bournemouth),GHA,FW,Bournemouth,Premier League,23,2000,23.4,95,95,93,90,95
876,2408,Benjamin Šeško (RB Leipzig),SVN,FW,RB Leipzig,Bundesliga,20,2003,17,66,70,58,53,75
877,2409,Kevin Sessa (Heidenheim),GER,"MF,FW",Heidenheim,Bundesliga,23,2000,11.2,56,58,66,66,50
878,2410,Aaron Seydel (Darmstadt 98),GER,FW,Darmstadt 98,Bundesliga,27,1996,6.9,35,28,31,24,34
879,2412,Stephan El Shaarawy (Roma),ITA,"FW,DF",Roma,Serie A,30,1992,19.3,79,78,78,76,83
880,2415,Eldor Shomurodov (Cagliari),UZB,"FW,MF",Cagliari,Serie A,28,1995,10.4,58,53,43,53,55
881,2416,Steven Shpendi (Empoli),ALB,"FW,MF",Empoli,Serie A,20,2003,4.6,30,21,20,12,27
882,2421,André Silva (Real Sociedad),POR,FW,Real Sociedad,La Liga,27,1995,8.1,52,41,26,32,39
883,2422,Bernardo Silva (Manchester City),POR,"MF,FW",Manchester City,Premier League,28,1994,28.6,82,90,99,97,93
884,2424,Fábio Silva (Wolves),POR,FW,Wolves,Premier League,21,2002,2.9,30,21,26,32,18
885,2429,Giovanni Simeone (Napoli),ARG,FW,Napoli,Serie A,28,1995,8.9,33,37,40,44,39
886,2430,Giuliano Simeone (Alavés),ARG,FW,Alavés,La Liga,20,2002,7,50,51,62,41,45
887,2432,Moses Simon (Nantes),NGA,"FW,MF",Nantes,Ligue 1,28,1995,19.9,91,94,99,91,97
888,2436,Luis Sinisterra (Bournemouth),COL,"FW,MF",Bournemouth,Premier League,24,1999,7.8,77,84,81,65,92
889,2439,Ayanda Sishuba (Lens),BEL,"MF,FW",Lens,Ligue 1,18,2005,0.7,38,47,31,24,50
890,2443,Tim Skarke (Darmstadt 98),GER,"FW,DF",Darmstadt 98,Bundesliga,26,1996,26.7,83,83,85,81,81
891,2448,Robert Skov (Hoffenheim),DEN,"DF,FW",Hoffenheim,Bundesliga,27,1996,14,58,51,65,64,71
892,2450,Naatan Skyttä (Toulouse),FIN,"MF,FW",Toulouse,Ligue 1,21,2002,1.3,9,14,10,0,18
893,2458,Rubén Sobrino (Cádiz),ESP,"MF,FW",Cádiz,La Liga,31,1992,18.3,71,68,64,74,45
894,2461,Alex Sola (Alavés),ESP,"FW,MF",Alavés,La Liga,24,1999,14,88,93,75,71,69
895,2463,Dominic Solanke (Bournemouth),ENG,FW,Bournemouth,Premier League,25,1997,36.9,94,91,81,71,88
896,2464,Ola Solbakken (Roma),NOR,FW,Roma,Serie A,24,1998,0.3,14,14,10,0,0
897,2467,Manor Solomon (Tottenham),ISR,FW,Tottenham,Premier League,24,1999,2.2,44,53,52,41,62
898,2474,Borna Sosa (Stuttgart),CRO,"FW,DF",Stuttgart,Bundesliga,25,1998,0.5,0,0,26,12,18
899,2476,Florian Sotoca (Lens),FRA,"MF,FW",Lens,Ligue 1,32,1990,28.9,70,75,84,96,64
900,2477,Riccardo Sottil (Fiorentina),ITA,FW,Fiorentina,Serie A,24,1999,12.3,78,76,87,84,83
901,2479,Matìas Soulé (Frosinone),ARG,"FW,MF",Frosinone,Serie A,20,2003,34.7,100,100,97,100,92
902,2481,Issa Soumaré (Le Havre),SEN,"FW,MF",Le Havre,Ligue 1,22,2000,2.6,35,28,24,32,18
903,2501,Raheem Sterling (Chelsea),ENG,"FW,MF",Chelsea,Premier League,28,1994,22,98,94,97,90,99
904,2502,Trivante Stewart (Salernitana),JAM,"FW,MF",Salernitana,Serie A,23,2000,1.1,18,21,16,18,18
905,2506,Filip Stojilković (Darmstadt 98),SUI,"FW,MF",Darmstadt 98,Bundesliga,23,2000,1.7,18,14,24,18,39
906,2509,Jørgen Strand Larsen (Celta Vigo),NOR,FW,Celta Vigo,La Liga,23,2000,31.8,87,84,70,71,87
907,2510,Gabriel Strefezza (Lecce),BRA,FW,Lecce,Serie A,26,1997,12.4,66,65,71,83,39
908,2512,Cristhian Stuani (Girona),URU,FW,Girona,La Liga,36,1986,8.9,23,14,20,12,34
909,2515,Denis Suárez (Villarreal),ESP,"MF,FW",Villarreal,La Liga,29,1994,1.5,33,37,24,12,18
910,2517,Isaac Success (Udinese),NGA,"FW,MF",Udinese,Serie A,27,1996,9.8,71,75,48,52,45
911,2520,Tomáš Suslov (Hellas Verona),SVK,"MF,FW",Hellas Verona,Serie A,21,2002,23.2,87,90,78,87,71
912,2521,Suso (Sevilla),ESP,"MF,FW",Sevilla,La Liga,29,1993,16.9,76,83,76,84,55
913,2524,Williot Swedberg (Celta Vigo),SWE,"FW,MF",Celta Vigo,La Liga,19,2004,4.9,40,44,31,35,39
914,2525,Karol Świderski (Hellas Verona),POL,"FW,MF",Hellas Verona,Serie A,26,1997,5.6,35,28,20,24,27
915,2528,Issiaga Sylla (Montpellier),GUI,"DF,FW",Montpellier,Ligue 1,29,1994,16.2,47,53,66,66,27
916,2529,Mamadou Sylla (Alavés),SEN,"FW,MF",Alavés,La Liga,29,1994,0.2,9,0,0,0,0
917,2535,Alexander Sørloth (Villarreal),NOR,FW,Villarreal,La Liga,27,1995,27.7,86,86,79,81,90
918,2536,Musa Al-Taamari (Montpellier),JOR,FW,Montpellier,Ligue 1,26,1997,21.4,95,93,91,93,96
919,2540,Yassin Tallal (Getafe),ESP,FW,Getafe,La Liga,18,2005,0,0,0,10,0,0
920,2548,Jimi Tauriainen (Chelsea),ENG,FW,Chelsea,Premier League,19,2004,0,0,0,0,0,0
921,2550,Marcus Tavernier (Bournemouth),ENG,FW,Bournemouth,Premier League,24,1999,23.5,94,93,91,99,87
922,2551,Elayis Tavsan (Hellas Verona),NED,"MF,FW",Hellas Verona,Serie A,22,2001,0.6,9,14,16,12,18
923,2553,Marciano Tchami (Almería),GNB,"FW,MF",Almería,La Liga,19,2004,0.5,0,0,10,12,0
924,2554,Loum Tchaouna (Salernitana),FRA,"FW,MF",Salernitana,Serie A,19,2003,23.3,80,68,89,88,87
925,2558,Mathys Tel (Bayern Munich),FRA,"FW,MF",Bayern Munich,Bundesliga,18,2005,11.7,85,90,77,68,90
926,2564,Filippo Terracciano (Milan),ITA,"DF,FW",Milan,Serie A,20,2003,0.8,0,0,0,18,0
927,2567,Martin Terrier (Rennes),FRA,"FW,MF",Rennes,Ligue 1,26,1997,17,70,68,65,73,62
928,2569,Benjamin Tetteh (Metz),GHA,"FW,MF",Metz,Ligue 1,26,1997,3.1,32,33,20,28,18
929,2571,Florian Thauvin (Udinese),FRA,FW,Udinese,Serie A,30,1993,19,91,89,89,91,90
930,2575,Jan Thielmann (Köln),GER,"FW,DF",Köln,Bundesliga,21,2002,17.5,57,72,78,81,67
931,2576,Denis Thomalla (Heidenheim),GER,"MF,FW",Heidenheim,Bundesliga,30,1992,5,14,21,20,18,0
932,2582,Marcus Thuram (Inter),FRA,FW,Inter,Serie A,25,1997,29.9,78,88,88,75,94
933,2583,Cheikh Tidiane Sabaly (Metz),SEN,"FW,MF",Metz,Ligue 1,24,1999,15.3,85,87,73,79,73
934,2584,Youri Tielemans (Aston Villa),BEL,"MF,FW",Aston Villa,Premier League,26,1997,18,59,65,60,74,55
935,2586,Phillip Tietz (Augsburg),GER,FW,Augsburg,Bundesliga,26,1997,26.5,71,61,56,57,55
936,2587,Steffen Tigges (Köln),GER,FW,Köln,Bundesliga,25,1998,8.1,30,33,36,32,27
937,2596,Raúl de Tomás (Rayo Vallecano),ESP,FW,Rayo Vallecano,La Liga,28,1994,14.1,74,75,40,32,39
938,2597,Tiago Tomás (Wolfsburg),POR,"FW,MF",Wolfsburg,Bundesliga,21,2002,11.5,80,76,58,53,80
939,2602,Ivan Toney (Brentford),ENG,FW,Brentford,Premier League,27,1996,16.1,52,53,60,61,71
940,2603,Pablo Torre (Girona),ESP,"MF,FW",Girona,La Liga,20,2003,7.8,47,41,62,62,39
941,2605,Ferrán Torres (Barcelona),ESP,FW,Barcelona,La Liga,23,2000,13.5,53,53,67,66,75
942,2609,Fabio Torsiello (Darmstadt 98),ITA,"FW,DF",Darmstadt 98,Bundesliga,18,2005,1.7,18,14,16,0,0
943,2614,Andros Townsend (Luton Town),ENG,"MF,FW",Luton Town,Premier League,32,1991,13.4,65,68,78,78,55
944,2616,Adama Traoré (Fulham),ESP,"FW,MF",Fulham,Premier League,27,1996,4.2,44,51,66,53,71
945,2617,Bertrand Traoré (Aston Villa),BFA,"DF,FW",Aston Villa,Premier League,27,1995,0.1,9,0,0,0,0
946,2620,Chaka Traorè (Milan),CIV,FW,Milan,Serie A,18,2004,0.2,0,0,16,12,18
947,2627,Óscar Trejo (Rayo Vallecano),ARG,"FW,MF",Rayo Vallecano,La Liga,35,1988,15.3,90,88,65,71,64
948,2628,Mike Trésor (Burnley),BEL,"FW,MF",Burnley,Premier League,24,1999,4.7,50,56,48,38,34
949,2632,Leandro Trossard (Arsenal),BEL,"FW,MF",Arsenal,Premier League,28,1994,18.3,75,81,87,86,88
950,2636,Viktor Tsyhankov (Girona),UKR,"MF,FW",Girona,La Liga,25,1997,22.8,79,78,87,89,90
951,2645,Lukas Ullrich (Gladbach),GER,"DF,FW",Gladbach,Bundesliga,19,2004,0.5,9,0,0,12,0
952,2648,Enes Ünal (Bournemouth),TUR,"FW,MF",Bournemouth,Premier League,26,1997,3.6,35,21,24,18,18
953,2649,Enes Ünal (Getafe),TUR,"FW,MF",Getafe,La Liga,26,1997,1.6,21,21,16,18,0
954,2650,Deniz Undav (Stuttgart),GER,"FW,MF",Stuttgart,Bundesliga,27,1996,23.2,78,83,77,82,81
955,2652,Kacper Urbanski (Bologna),POL,"MF,FW",Bologna,Serie A,18,2004,10.3,64,75,62,61,45
956,2653,Mark Uth (Köln),GER,"MF,FW",Köln,Bundesliga,31,1991,4.1,38,33,43,35,27
957,2654,Myrto Uzuni (Granada),ALB,FW,Granada,La Liga,28,1995,27.2,57,61,58,53,64
958,2662,Kévin Van Den Kerkhof (Metz),ALG,"FW,MF",Metz,Ligue 1,27,1996,21.3,86,87,87,95,67
959,2667,Ruben Vargas (Augsburg),SUI,"MF,FW",Augsburg,Bundesliga,24,1998,21.8,80,78,84,78,75
960,2670,Borja Vázquez (Cádiz),ESP,FW,Cádiz,La Liga,18,2005,0,0,0,0,0,0
961,2675,Gabriel Veiga (Celta Vigo),ESP,FW,Celta Vigo,La Liga,21,2002,0.2,9,0,0,0,0
962,2676,Alejo Véliz (Tottenham),ARG,FW,Tottenham,Premier League,19,2003,0.6,14,14,0,0,0
963,2677,Alejo Véliz (Sevilla),ARG,FW,Sevilla,La Liga,19,2003,0.4,0,0,0,0,0
964,2683,Simone Verdi (Torino),ITA,FW,Torino,Serie A,31,1992,0,0,0,0,0,0
965,2686,Yorbe Vertessen (Union Berlin),BEL,"FW,MF",Union Berlin,Bundesliga,22,2001,6.6,64,63,38,35,59
966,2689,Carlos Vicente (Alavés),ESP,FW,Alavés,La Liga,24,1999,12.4,70,65,60,41,64
967,2690,Nacho Vidal (Osasuna),ESP,"DF,FW",Osasuna,La Liga,28,1995,1.1,14,14,0,12,0
968,2692,Fabio Vieira (Arsenal),POR,"MF,FW",Arsenal,Premier League,23,2000,3.3,32,21,43,24,50
969,2694,Jonathan Viera (Las Palmas),ESP,"MF,FW",Las Palmas,La Liga,33,1989,6.9,50,53,63,66,45
970,2696,Emanuel Vignato (Salernitana),ITA,"MF,FW",Salernitana,Serie A,22,2000,3.5,14,14,26,32,18
971,2697,Samuele Vignato (Monza),ITA,"MF,FW",Monza,Serie A,19,2004,3.8,32,37,45,41,50
972,2698,Oscar Vilhelmsson (Darmstadt 98),SWE,"FW,MF",Darmstadt 98,Bundesliga,19,2003,15.3,45,37,50,47,59
973,2699,Toni Villa (Girona),ESP,FW,Girona,La Liga,28,1995,0.1,9,0,10,0,18
974,2700,Asier Villalibre (Athletic Club),ESP,FW,Athletic Club,La Liga,25,1997,5.7,35,33,28,32,50
975,2704,Rúben Vinagre (Hellas Verona),POR,"DF,FW",Hellas Verona,Serie A,24,1999,3.1,23,28,28,32,18
976,2705,Carlos Vinícius (Fulham),BRA,FW,Fulham,Premier League,28,1995,3.5,30,21,20,28,27
977,2706,Nicolas Viola (Cagliari),ITA,"MF,FW",Cagliari,Serie A,33,1989,13.4,68,68,59,64,59
978,2707,Alan Virginius (Lille),FRA,FW,Lille,Ligue 1,20,2003,0.8,21,21,10,0,18
979,2708,Alan Virginius (Clermont Foot),FRA,FW,Clermont Foot,Ligue 1,20,2003,10.4,48,53,59,49,64
980,2711,Vitinha (Genoa),POR,"FW,MF",Genoa,Serie A,23,2000,3.2,33,21,38,28,39
981,2712,Vitinha (Marseille),POR,FW,Marseille,Ligue 1,23,2000,10.3,65,70,48,53,62
982,2717,Dušan Vlahović (Juventus),SRB,FW,Juventus,Serie A,23,2000,25.6,73,72,72,64,81
983,2718,Nikola Vlašić (Torino),CRO,"MF,FW",Torino,Serie A,25,1997,29,76,83,88,89,67
984,2723,Kevin Volland (Union Berlin),GER,"FW,MF",Union Berlin,Bundesliga,31,1992,14.9,45,41,46,44,59
985,2724,Cristian Volpato (Sassuolo),ITA,"MF,FW",Sassuolo,Serie A,19,2003,7.2,77,81,71,71,71
986,2727,Elye Wahi (Montpellier),FRA,FW,Montpellier,Ligue 1,20,2003,0.2,9,14,10,12,18
987,2728,Elye Wahi (Lens),FRA,FW,Lens,Ligue 1,20,2003,18.8,74,70,81,71,87
988,2730,Luca Waldschmidt (Köln),GER,"MF,FW",Köln,Bundesliga,27,1996,12.7,71,72,67,65,50
989,2736,Lewis Warrington (Everton),ENG,FW,Everton,Premier League,20,2002,0,0,0,0,0,0
990,2737,Deivid Washington (Chelsea),BRA,"DF,FW",Chelsea,Premier League,18,2005,0.1,9,0,0,0,0
991,2738,Kjell-Arik Wätjen (Dortmund),GER,"MF,FW",Dortmund,Bundesliga,17,2006,1.2,21,21,20,18,0
992,2739,Ollie Watkins (Aston Villa),ENG,FW,Aston Villa,Premier League,27,1995,35.7,83,82,86,83,95
993,2740,Timothy Weah (Juventus),USA,"DF,FW",Juventus,Serie A,23,2000,14,38,37,71,64,59
994,2742,Wout Weghorst (Hoffenheim),NED,FW,Hoffenheim,Bundesliga,30,1992,22,44,28,46,57,55
995,2744,Nelson Weiper (Mainz 05),GER,"FW,MF",Mainz 05,Bundesliga,18,2005,1.4,28,21,28,18,27
996,2746,Noah Weißhaupt (Freiburg),GER,"DF,FW",Freiburg,Bundesliga,21,2001,8.4,71,47,76,74,62
997,2747,Shon Weissman (Salernitana),ISR,"FW,DF",Salernitana,Serie A,27,1996,5.5,14,0,0,12,0
998,2748,Shon Weissman (Granada),ISR,FW,Granada,La Liga,27,1996,0.9,14,14,10,12,0
999,2749,Danny Welbeck (Brighton),ENG,"FW,MF",Brighton,Premier League,32,1990,18.8,57,47,69,59,71
1000,2750,Timo Werner (Tottenham),GER,FW,Tottenham,Premier League,27,1996,9,60,58,91,74,93
1001,2751,Timo Werner (RB Leipzig),GER,"FW,MF",RB Leipzig,Bundesliga,27,1996,2.3,33,37,38,44,45
1002,2753,Ethan Wheatley (Manchester Utd),ENG,FW,Manchester Utd,Premier League,17,2006,0.2,0,0,0,0,0
1003,2759,Iñaki Williams (Athletic Club),GHA,FW,Athletic Club,La Liga,29,1994,31.6,96,95,97,96,97
1004,2761,Nico Williams (Athletic Club),ESP,FW,Athletic Club,La Liga,21,2002,25.1,100,99,99,98,98
1005,2762,Willian (Fulham),BRA,FW,Fulham,Premier League,34,1988,22.8,83,84,93,97,89
1006,2764,Callum Wilson (Newcastle Utd),ENG,FW,Newcastle Utd,Premier League,31,1992,11,63,63,40,41,71
1007,2765,Harry Wilson (Fulham),WAL,FW,Fulham,Premier League,26,1997,18,65,65,76,73,78
1008,2767,Patrick Wimmer (Wolfsburg),AUT,"FW,MF",Wolfsburg,Bundesliga,22,2001,6.5,45,47,34,41,34
1009,2768,Jonas Wind (Wolfsburg),DEN,FW,Wolfsburg,Bundesliga,24,1999,29.5,60,61,52,66,45
1010,2770,Yoane Wissa (Brentford),COD,FW,Brentford,Premier League,26,1996,27.7,78,75,77,80,81
1011,2772,Maximilian Wittek (Bochum),GER,"DF,FW",Bochum,Bundesliga,27,1995,11.9,53,53,52,44,39
1012,2775,Nick Woltemade (Werder Bremen),GER,"FW,MF",Werder Bremen,Bundesliga,21,2002,13.2,75,84,58,69,59
1013,2776,Jeong Woo-yeong (Stuttgart),KOR,"MF,FW",Stuttgart,Bundesliga,23,1999,7,47,33,60,49,50
1014,2777,Chris Wood (Nott'ham Forest),NZL,FW,Nott'ham Forest,Premier League,31,1991,20.1,44,41,50,47,55
1015,2778,Cauley Woodrow (Luton Town),ENG,"FW,MF",Luton Town,Premier League,28,1994,4.7,18,21,31,38,18
1016,2781,Xeber (Alavés),ESP,"FW,MF",Alavés,La Liga,26,1997,3.4,28,28,28,18,34
1017,2784,Lamine Yamal (Barcelona),ESP,FW,Barcelona,La Liga,16,2007,24.5,99,99,98,98,98
1018,2785,Roman Yaremchuk (Valencia),UKR,FW,Valencia,La Liga,27,1995,10.3,40,37,43,49,50
1019,2788,Yusuf Yazıcı (Lille),TUR,"MF,FW",Lille,Ligue 1,26,1997,14.6,60,61,68,66,50
1020,2789,Kelvin Yeboah (Montpellier),ITA,FW,Montpellier,Ligue 1,23,2000,3.1,40,47,36,35,50
1021,2790,Bertuğ Yıldırım (Rennes),TUR,FW,Rennes,Ligue 1,21,2002,5.2,32,41,36,38,27
1022,2791,Kenan Yıldız (Juventus),TUR,"FW,MF",Juventus,Serie A,18,2005,10.6,71,79,69,78,67
1023,2797,Mattia Zaccagni (Lazio),ITA,"FW,MF",Lazio,Serie A,28,1995,21.7,95,96,93,95,90
1024,2802,Arsen Zakharyan (Real Sociedad),RUS,"MF,FW",Real Sociedad,La Liga,20,2003,13.6,59,53,65,68,59
1025,2804,Nicola Zalewski (Roma),POL,"DF,FW",Roma,Serie A,21,2002,10.8,67,68,83,69,77
1026,2806,Nicolò Zaniolo (Aston Villa),ITA,"FW,MF",Aston Villa,Premier League,24,1999,9.3,76,61,71,59,75
1027,2808,Alessandro Zanoli (Napoli),ITA,"DF,FW",Napoli,Serie A,22,2000,0.6,14,0,16,12,0
1028,2809,Duván Zapata (Torino),COL,FW,Torino,Serie A,32,1991,32,95,89,90,92,88
1029,2810,Duván Zapata (Atalanta),COL,FW,Atalanta,Serie A,32,1991,1.2,18,21,20,12,27
1030,2813,Bryan Zaragoza (Granada),ESP,"MF,FW",Granada,La Liga,22,2001,18.2,97,96,95,94,93
1031,2814,Bryan Zaragoza (Bayern Munich),ESP,"FW,MF",Bayern Munich,Bundesliga,22,2001,2,43,47,46,49,50
1032,2815,Anass Zaroury (Burnley),MAR,"FW,MF",Burnley,Premier League,22,2000,1.7,26,21,16,18,0
1033,2820,Alessio Zerbin (Monza),ITA,"DF,FW",Monza,Serie A,24,1999,7.6,61,61,52,64,45
1034,2821,Alessio Zerbin (Napoli),ITA,"FW,DF",Napoli,Serie A,24,1999,1.7,21,21,28,28,27
1035,2826,Edon Zhegrova (Lille),KVX,FW,Lille,Ligue 1,24,1999,25.4,99,99,96,98,97
1036,2831,Joshua Zirkzee (Bologna),NED,FW,Bologna,Serie A,22,2001,30.7,97,96,82,87,83
1037,2833,Simon Zoller (Bochum),GER,"FW,MF",Bochum,Bundesliga,32,1991,0.5,0,0,0,0,0
1038,2840,Lovro Zvonarek (Bayern Munich),CRO,"FW,MF",Bayern Munich,Bundesliga,18,2005,1.8,18,14,31,12,39
1039,2842,Milan Đurić (Hellas Verona),BIH,FW,Hellas Verona,Serie A,33,1990,13.4,18,21,20,35,18
1040,2843,Milan Đurić (Monza),BIH,FW,Monza,Serie A,33,1990,14,21,21,16,18,18